epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,807.641,1.09909,1.82574,1.1978,0.7635,0.75695,0.82438,0.5787,0.97347,1.5277,1.15151,0.00046641,0.00046641,0.00046641
2,1621.36,1.07979,1.27369,1.19139,0.58368,0.74691,0.74643,0.52302,1.05836,2.80115,1.25098,0.000924077,0.000924077,0.000924077
3,2348.5,1.08312,1.20376,1.19357,0.7325,0.66602,0.7466,0.52975,1.08386,2.13999,1.23036,0.00136288,0.00136288,0.00136288
4,3078.5,1.06356,1.12388,1.18533,0.5226,0.58001,0.52609,0.35083,1.1615,3.00465,1.34687,0.00134412,0.00134412,0.00134412
5,3931.77,1.04643,1.04074,1.1857,0.57994,0.67305,0.63765,0.41763,1.09841,1.81118,1.25893,0.00131582,0.00131582,0.00131582
6,4795.83,1.03148,1.01747,1.17148,0.79039,0.71075,0.77664,0.52489,1.06683,1.49227,1.25095,0.00128753,0.00128753,0.00128753
7,5537.11,1.00259,0.97189,1.15088,0.8381,0.7275,0.83633,0.59366,1.01628,1.04083,1.23357,0.00125923,0.00125923,0.00125923
8,6250.58,1.00436,0.93443,1.154,0.88133,0.84457,0.91633,0.66998,0.96928,0.80644,1.16406,0.00123094,0.00123094,0.00123094
9,6966.93,0.95688,0.86133,1.12284,0.87894,0.7805,0.89085,0.66499,0.93166,0.78856,1.13435,0.00120265,0.00120265,0.00120265
10,7687.09,0.97035,0.86121,1.13802,0.83986,0.80485,0.88521,0.67052,0.90075,0.81807,1.10918,0.00117435,0.00117435,0.00117435
11,8404.69,0.91777,0.80742,1.09899,0.8758,0.82627,0.92276,0.69475,0.86689,0.81351,1.08857,0.00114606,0.00114606,0.00114606
12,9139.78,0.91627,0.81252,1.1097,0.85277,0.82647,0.91766,0.69445,0.86892,0.72334,1.10563,0.00111776,0.00111776,0.00111776
13,9810.66,0.89908,0.82292,1.09291,0.90772,0.82977,0.93073,0.71572,0.87525,0.70766,1.10564,0.00108947,0.00108947,0.00108947
14,10518.7,0.9167,0.76859,1.09719,0.90137,0.84837,0.93855,0.71864,0.87599,0.65704,1.11914,0.00106118,0.00106118,0.00106118
15,649.609,0.91474,0.78992,1.11554,0.91027,0.85035,0.94046,0.72445,0.84245,0.65168,1.10689,0.00103288,0.00103288,0.00103288
16,1309.46,0.8715,0.7578,1.08644,0.90693,0.85777,0.94096,0.7338,0.8494,0.61288,1.08093,0.00100459,0.00100459,0.00100459
17,1973.18,0.85009,0.69432,1.06387,0.86374,0.85721,0.92311,0.71599,0.8425,0.6721,1.08851,0.000976293,0.000976293,0.000976293
18,2626.61,0.83717,0.68832,1.06785,0.88684,0.85475,0.92959,0.72077,0.86271,0.64252,1.10614,0.000947999,0.000947999,0.000947999
19,3275.33,0.82197,0.66562,1.06087,0.92225,0.86794,0.93745,0.73643,0.81115,0.60361,1.07301,0.000919704,0.000919704,0.000919704
20,3925.22,0.81396,0.65622,1.05242,0.8968,0.88622,0.94781,0.75318,0.81568,0.58647,1.05911,0.00089141,0.00089141,0.00089141
21,4575.83,0.81477,0.63552,1.04747,0.91237,0.88782,0.95398,0.76247,0.80505,0.55774,1.06446,0.000863116,0.000863116,0.000863116
22,5225.22,0.7982,0.6196,1.04525,0.93676,0.87452,0.95601,0.75991,0.79573,0.56574,1.06138,0.000834822,0.000834822,0.000834822
